expect_output,HBpoint,dev,fraction,zdiff,filename,depth,temp,top_gradvar,top_bad,fracBothBelow,place
0,0,0.005,0.7280701754385965,0.0124000244141,1640.nc,658.4,10.407,0.5,0,0.0,0.7467392710656605
0,0,-0.005,0.7192982456140351,0.0145,1640.nc,660.5,10.41,0.5,0,0.0,0.7491210058471776
0,0,0.005,0.7105263157894737,0.0165,1640.nc,662.5,10.406,0.5,0,0.0,0.7513893510579185
0,0,-0.01,0.7017543859649122,0.0185999755859,1640.nc,664.6,10.407,0.5,0,0.0,0.7537710858394355
0,0,0.005,0.6929824561403509,0.020700012207,1640.nc,666.7,10.398,0.5,0,0.0,0.7561528898453548
0,0,0.005,0.6842105263157895,0.022700012207,1640.nc,668.7,10.399,0.5,0,0.0,0.7584212350560956
0,0,-0.01,0.6754385964912281,0.024799987793,1640.nc,670.8,10.4,0,0,0.0,0.7608029698376128
0,0,-0.005,0.6666666666666666,0.0269000244141,1640.nc,672.9,10.393,0,0,0.0,0.7631847738435319
0,0,-0.005,0.6578947368421053,0.0289000244141,1640.nc,674.9,10.391,0,0,0.0,0.7654531190542728
0,0,0.01,0.6491228070175439,0.031,1640.nc,677.0,10.389,0,0,0.0,0.7678348538357899
0,0,0.02,0.6403508771929824,0.0330999755859,1640.nc,679.1,10.396,0,0,0.0,0.7702165886173069
0,0,0.015,0.631578947368421,0.0350999755859,1640.nc,681.1,10.411,0,0,0.0,0.7724849338280478
0,0,0.02,0.6228070175438597,0.037200012207,1640.nc,683.2,10.424,0,0,0.0,0.7748667378339671
0,0,0.02,0.6140350877192983,0.039299987793,1640.nc,685.3,10.441,0,0,0.0,0.7772484726154841
0,0,0.005,0.6052631578947368,0.041299987793,1640.nc,687.3,10.459,0,0,0.0,0.7795168178262251
0,0,-0.01,0.5964912280701754,0.0434000244141,1640.nc,689.4,10.46,0,0,0.0,0.7818986218321442
0,0,-0.025,0.5877192982456141,0.0455,1640.nc,691.5,10.45,0,0,0.0,0.7842803566136614
0,0,-0.02,0.5789473684210527,0.0475,1640.nc,693.5,10.428,0,0,0.0,0.7865487018244022
0,0,-0.015,0.5701754385964912,0.0495999755859,1640.nc,695.6,10.408,0,0,0.0,0.7889304366059192
0,0,-0.005,0.5614035087719298,0.051700012207,1640.nc,697.7,10.397,0,0,0.0,0.7913122406118385
0,0,-0.005,0.5526315789473685,0.053700012207,1640.nc,699.7,10.394,0,0,0.0,0.7935805858225794
0,0,0.01,0.543859649122807,0.055799987793,1640.nc,701.8,10.392,0,0,0.0,0.7959623206040964
0,0,-0.02,0.5350877192982456,0.0579000244141,1640.nc,703.9,10.399,0,0,0.0,0.7983441246100157
0,0,-0.005,0.5263157894736842,0.0599000244141,1640.nc,705.9,10.384,0,0,0.3333333333333333,0.8006124698207565
0,0,-0.005,0.5175438596491229,0.062,1640.nc,708.0,10.38,0,0.5,0.3333333333333333,0.8029942046022737
0,0,-0.005,0.5087719298245614,0.0640999755859,1640.nc,710.1,10.376,0,0.5,0.6666666666666666,0.8053759393837907
0,0,-0.005,0.5,0.066200012207,1640.nc,712.2,10.372,0,0.5,0.6666666666666666,0.80775774338971
0,0,-0.005,0.49122807017543857,0.068200012207,1640.nc,714.2,10.369,0,0.5,0.6666666666666666,0.8100260886004508
0,0,0.005,0.4824561403508772,0.070299987793,1640.nc,716.3,10.365,0,0.5,0.6666666666666666,0.8124078233819678
0,0,-0.01,0.47368421052631576,0.0724000244141,1640.nc,718.4,10.369,0,0.5,0.6666666666666666,0.8147896273878871
0,0,0.01,0.4649122807017544,0.0744000244141,1640.nc,720.4,10.363,0,0.5,0.6666666666666666,0.817057972598628
0,0,0.005,0.45614035087719296,0.0765,1640.nc,722.5,10.372,0,0.5,1.0,0.819439707380145
0,0,-0.01,0.4473684210526316,0.0785999755859,1640.nc,724.6,10.375,0,1,1.0,0.8218214421616621
0,0,0.0,0.43859649122807015,0.0805999755859,1640.nc,726.6,10.37,0,1,0.6666666666666666,0.824089787372403
0,0,0.005,0.4298245614035088,0.082700012207,1640.nc,728.7,10.37,0,1,0.3333333333333333,0.8264715913783223
0,0,-0.005,0.42105263157894735,0.084799987793,1640.nc,730.8,10.375,0,0.5,0.0,0.8288533261598393
0,0,0.015,0.41228070175438597,0.086799987793,1640.nc,732.8,10.374,0,0.5,-0.3333333333333333,0.8311216713705801
0,0,-0.005,0.40350877192982454,0.0889000244141,1640.nc,734.9,10.386,0,0.5,-0.3333333333333333,0.8335034753764994
0,0,-0.015,0.39473684210526316,0.091,1640.nc,737.0,10.382,0,0.5,-0.3333333333333333,0.8358852101580164
0,0,0.005,0.38596491228070173,0.093,1640.nc,739.0,10.372,0,0.5,-0.3333333333333333,0.8381535553687574
0,0,-0.01,0.37719298245614036,0.0950999755859,1640.nc,741.1,10.376,0,0.5,-0.3333333333333333,0.8405352901502744
0,0,0.005,0.3684210526315789,0.097200012207,1640.nc,743.2,10.369,0,0.5,-0.6666666666666666,0.8429170941561936
0,0,0.0,0.35964912280701755,0.099200012207,1640.nc,745.2,10.37,0,0.5,-1.0,0.8451854393669346
0,0,0.0,0.3508771929824561,0.101299987793,1640.nc,747.3,10.37,0,0,-1.0,0.8475671741484516
0,0,-0.01,0.34210526315789475,0.103400024414,1640.nc,749.4,10.37,0,0,-1.0,0.8499489781543709
0,0,0.005,0.3333333333333333,0.105400024414,1640.nc,751.4,10.365,0,0,-1.0,0.8522173233651117
0,0,-0.005,0.32456140350877194,0.1075,1640.nc,753.5,10.366,0,0,-1.0,0.8545990581466287
0,0,-0.01,0.3157894736842105,0.109599975586,1640.nc,755.6,10.365,0,0,-1.0,0.8569807929281459
0,0,-0.005,0.30701754385964913,0.111599975586,1640.nc,757.6,10.36,0,0,-1.0,0.8592491381388867
